ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Source_comment
pang1290-1,pang1290,Samay manok so angan ed mansanas,Samay	manok	so	angan	ed	mansanas,DIST	chicken	NOM	AV:eat	DAT	apple,The chicken ate (of) the apple.,,,,benton1971pangasinan[193],Benton 1971: 193
pang1290-2,pang1290,Siak so angan na mansanas,Siak	so	angan	na	mansanas,1SG	NOM	AV:eat	GEN	apple,I ate a/the apple.,,,,benton1971pangasinan[193],Benton 1971: 193
pang1290-3,pang1290,Mangibangat si Juan kinen Maria,Mangibangat	si	Juan	kinen	Maria,AV:teach	NOM	Juan	DAT	Maria,John/Juan will teach Maria.,,,,benton1971pangasinan[193],Benton 1971: 193
pang1290-4,pang1290,Mangibangat si Juan ed siak,Mangibangat	si	Juan	ed	siak,AV:teach	NOM	Juan	DAT	1SG,John/Juan will teach me.,,,,benton1971pangasinan[193],Benton 1971: 193
pamp1243-1,pamp1243,ing lalaki ing menakit king anak,ing	lalaki	ing	menakit	king	anak,NOM	man	NOM	PST.AV.see	DAT	child,The man is the one who saw the child.,,,,richards1971pampangan[121],Richards 1971: 121
pamp1243-2,pamp1243,menaya=ya-ng anak ing lalaki,menaya=ya-ng	anak	ing	lalaki,PST.AV.wait=3SG.NOM-LK	child	NOM	man,The man waited for a child (non-specific).,,,,richards1971pampangan[119],Richards 1971: 119
pamp1243-3,pamp1243,ing lalaki ing menakit king anak,ing	lalaki	ing	menakit	king	anak,NOM	man	NOM	PST.AV.see	DAT	child,The man is the one who saw the child.,,,,richards1971pampangan[121],Richards 1971: 121
pamp1243-4,pamp1243,menaya=ya king anak ing lalaki,menaya=ya	king	anak	ing	lalaki,PST.AV:wait=3SG.NOM	DAT	child	NOM	man,The man waited for a/the child.,,,,richards1971pampangan[119],Richards 1971: 119
pamp1243-5,pamp1243,Dinatang ne ing ipus a sumaup kang Ara,Dinatang	ne	ing	ipus	a	sumaup	kang	Ara,AV:arrived	COMP:3SG.NOM	NOM	servant	LK	AV:will.help	DAT	PN,The servant arrived who was going to help Ara.,,,,mithun1994[259-260],Mithun 1994: 259–260
pamp1243-6,pamp1243,Ninung mikpuk keka?,Ninung	mikpuk	keka?,who:LK	hit:Av	2.DAT,Who hit you?,,,,mithun1994[262],Mithun 1994: 262
taga1270-1,taga1270,Siya ang naka-kita sa aksidente,Siya	ang	naka-kita	sa	aksidente,3SG.NOM	NOM	POT.AV.RLS-visible	DAT	accident,He is the one who saw the accident.,,,,latrouite2011differential[95],Latrouite 2011: 95
taga1270-2,taga1270,Siya ang naka-kita ng aksidente,Siya	ang	naka-kita	ng	aksidente,3SG.NOM	NOM	POT.AV.RLS-visible	GEN	accident,He is the one who saw a/the accident.,,,,latrouite2011differential[95],Latrouite 2011: 95
taga1270-3,taga1270,Siya ang naka-kita kay Jose.,Siya	ang	naka-kita	kay	Jose.,3SG.NOM	NOM	POT.AV.RLS-visible	DAT	Jose,He is the one who saw Jose.,,,,latrouite2011differential[95],Latrouite 2011: 95
taga1270-4,taga1270,Siya ang naka-kita sa akin,Siya	ang	naka-kita	sa	akin,3SG.NOM	NOM	POT.AV.RLS-visible	DAT	1SG.DAT,He is the one who saw me.,,,,latrouite2011differential[95],Latrouite 2011: 95
taga1270-5,taga1270,Siya ang naka-kita ng/*sa kaniya-ng asawa,Siya	ang	naka-kita	ng/*sa	kaniya-ng	asawa,3SG.NOM	NOM	POT.AV.RLS-visible	GEN/DAT	3SG.DAT-Lk	spouse,He/She is the one who saw his/her spouse.,,,,latrouite2011differential[96],Latrouite 2011: 96
taga1270-6,taga1270,Ito ang pusa-ng k<um>ain ng daga'.,Ito	ang	pusa-ng	k<um>ain	ng	daga'.,PRX	NOM	cat-LK	<AV>eat	GEN	rat,This is the cat that ate a/the rat.,,,,mcfarland1978[157];himmelmann2005[148],McFarland 1978: 157; Himmelmann 2005: 148
taga1270-7,taga1270,Ito ang pusa-ng k<um>ain sa daga'.,Ito	ang	pusa-ng	k<um>ain	sa	daga'.,PRX	NOM	cat-LK	<AV>eat	DAT	rat,This is the cat that ate the rat.,,,,mcfarland1978[157];himmelmann2005[148],McFarland 1978: 157; Himmelmann 2005: 148
hili1240-1,hili1240,Nag-hampa’ ang maestra kay Roberto,Nag-hampa’	ang	maestra	kay	Roberto,AV.RLS-strike	NOM	teacher	DAT	Roberto,The teacher hit Roberto.,,,,spitz2002hiligaynon[386],Spitz 2002: 386
hili1240-2,hili1240,Nag-hampa’ ang maestra sa iya,Nag-hampa’	ang	maestra	sa	iya,AV.RLS-strike	NOM	teacher	DAT	3SG.UNF,The teacher hit him/her.,,,,spitz2002hiligaynon[385],Spitz 2002: 385
hili1240-3,hili1240,Nag-hatag ang maestra sang bola sa bata’,Nag-hatag	ang	maestra	sang	bola	sa	bata’,AV.RLS-give	NOM	teacher	GEN	ball	DAT	child,The teacher gave a ball to the child.,,,,spitz2002hiligaynon[386],Spitz 2002: 386
hili1240-4,hili1240,Nag-hakos ako sa propesor.,Nag-hakos	ako	sa	propesor.,AV.RLS-hug	1SG.NOM	DAT	professor,I hugged the professor.,,,,spitz2001hiligaynon[13],Spitz 2001: 13
tbol1240-1,tbol1240,Ne omin le t<m>udà ke Was,Ne	omin	le	t<m>udà	ke	Was,and	then	3PL.NOM	<AV>throw	OBL	Monkey,And then they threw Monkey out.,,,,forsberg1992pedagogical[66],Forsberg 1992: 66
tbol1240-2,tbol1240,Mangay-i kut el,Mangay-i	kut	el,AV:fetch-2SG.NOM	1DU.OBL	water,Please fetch some water for us.,,,,forsberg1992pedagogical[66],Forsberg 1992: 66
tbol1240-3,tbol1240,Omin le mtem yem gunù,Omin	le	mtem	yem	gunù,then	3PL.NOM	AV:burn	that	house,And then they burnt that house.,,,,forsberg1992pedagogical[67],Forsberg 1992: 67
tbol1240-4,tbol1240,Du t<m>olok do,Du	t<m>olok	do,3SG.NOM	<AV>teach	1SG.OBL,He/She will be the one to teach me.,,,,forsberg1992pedagogical[67],Forsberg 1992: 67
rata1244-1,rata1244,Isé nto sumúq nanilow si tonaqas,Isé	nto	sumúq	nanilow	si	tonaqas,3SG	LK.NR	AV:enter	AV.PST:look_for	LOC	shaman,He would be the one to enter (Kinilow) and look for the shaman.,,,,himmelmann1999toratan[23],Himmelmann and Wolff 1999: 23
rata1244-2,rata1244,Ngapey siyaq,Ngapey	siyaq,AV:wave	LOC.1SG,‘(He) beckoned me over.,,,,himmelmann1999toratan[24],Himmelmann and Wolff 1999: 24
mala1537-1,mala1537,Nanenjika an-dRabe aho,Nanenjika	an-dRabe	aho,PST.AV.chase	DAT-Rabe	1SG,I chased Rabe.,,,,keenan2008definiteness[245],Keenan 2008: 245
mala1537-2,mala1537,Nanenjika ahy izy,Nanenjika	ahy	izy,PST.AV.chase	1SG.DAT	3SG,He chased me.,,,,keenan2008definiteness[245],Keenan 2008: 245
mala1537-3,mala1537,Manao (*an) farafra mahafinaritra io mpandrafirtra io,Manao	(*an)	farafra	mahafinaritra	io	mpandrafirtra	io,PRS.AV:make		bed	pleasing	DET	carpenter	DEM,That carpenter makes pleasing beds.,,,,keenan2008definiteness[246],Keenan 2008: 246
mala1537-4,mala1537,Mijery an ilay alika Rasoa,Mijery	an	ilay	alika	Rasoa,PRS.AV:watch	DAT	DET	dog	Rasoa,Rasoa is watching this dog.,,,,zribi1999malagasy[191],Zribi-Hertz and Mbolatianavalona 1999: 191
mala1537-5,mala1537,Tsy mahalala an io olona io aho,Tsy	mahalala	an	io	olona	io	aho,NEG	PRS.AV:know	DAT	DET	person	DEM	1SG,I don’t know that person.,,,,iemmolo2011dom[206],Iemmolo 2011: 206
kima1244-1,kima1244,"Kadung aa kou pendakod dogon, tibas-on tekoo","Kadung	aa	kou	pendakod	dogon,	tibas-on	tekoo",if	NEG	2PL.NOM	AV-CAUS-climb	1SG.DAT	slash-PV	1SG.GEN-2PL.NOM,"If you don’t let me climb up there, I’ll slash you all to pieces!",,,,kroeger2005kimaragang[422],Kroeger 2005: 422
kima1244-2,kima1244,Mangalapak okuh do niyuw,Mangalapak	okuh	do	niyuw,AV-TR-split	1SG.NOM	GEN	coconut,I will split a coconut / some coconuts.,,,,kroeger2005kimaragang[407],Kroeger 2005: 407
kima1244-3,kima1244,Ontok nopoh dit tanak dot [minonibas dit tidi yoh] …,Ontok	nopoh	dit	tanak	dot	[minonibas	dit	tidi	yoh]	…,about	only	GEN	child	REL	PST.AV.TR:slash	GEN	mother	3SG.GEN	…,"As for the son who slashed (i.e. murdered) his mother, …",,,,kroeger2005kimaragang[413],Kroeger 2005: 413
